graphite_wt%,carbon_black_wt%,CMC_wt%,solvent_wt%,yield_stress,n,K
28.07,1.75,1.12,69.05,0.071852851,0.712711339,2.340370075
28.07,1.75,1.12,69.05,0.066118647,0.714534351,2.540180468
28.07,1.75,1.12,69.05,0.077927358,0.717702434,2.493492893
27.97,2.1,1.12,68.81,0.20509762,0.70118579,3.533644305
27.97,2.1,1.12,68.81,0.193983361,0.684821435,3.550453139
27.97,2.1,1.12,68.81,0.238782752,0.692230769,3.368465761
27.87,2.44,1.11,68.57,0.363755897,0.70407607,3.825372508
27.87,2.44,1.11,68.57,0.35431801,0.697127999,4.005569631
27.87,2.44,1.11,68.57,0.326852884,0.687122646,4.02941907
27.78,2.78,1.11,68.33,0.797459303,0.695545787,5.108431592
27.78,2.78,1.11,68.33,0.791295467,0.692699483,5.172016573
27.78,2.78,1.11,68.33,0.826510229,0.69150969,5.025533372
27.68,3.11,1.11,68.1,1.280352369,0.6849495,5.698427707
27.68,3.11,1.11,68.1,1.23206487,0.685064439,5.765942128
27.68,3.11,1.11,68.1,1.282439885,0.682965136,5.895168362
27.59,3.45,1.1,67.86,2.405079955,0.690599953,7.400081709
27.59,3.45,1.1,67.86,2.517569601,0.691009375,7.731928238
27.59,3.45,1.1,67.86,2.438425999,0.692148129,7.113255608
27.49,3.78,1.1,67.63,3.323695829,0.685686179,8.560828979
27.49,3.78,1.1,67.63,3.409137099,0.689525054,8.035377741
27.49,3.78,1.1,67.63,3.618532995,0.693808347,7.858971169
27.4,4.11,1.1,67.4,4.829822063,0.681395492,9.633902959
27.4,4.11,1.1,67.4,4.898634776,0.68254655,9.446418997
27.4,4.11,1.1,67.4,5.006067321,0.682488078,9.436853083
